,cleaned_message,urgent_cos_sim,non_urgent_cos_sim,urgent,text,username
110,med medical block ne rodney ave portland portland fire rp pdx,0.14507397163970553,0.1312401242898544,1,"MED - MEDICAL at 6300 BLOCK OF NE RODNEY AVE, PORTLAND, OR [Portland Fire #RP18000096726] 10:44 #pdx911",Mult Co Fire/EMS log
111,med medical block n leadbetter rd portland portland fire rp pdx,0.14294173455070752,0.13657778194187956,1,"MED - MEDICAL at 7000 BLOCK OF N LEADBETTER RD, PORTLAND, OR [Portland Fire #RP18000096731] 11:18 #pdx911",Mult Co Fire/EMS log
114,med medical block se st ave portland portland fire rp pdx,0.14884833103692577,0.142142777988103,1,"MED - MEDICAL at 3200 BLOCK OF SE 51ST AVE, PORTLAND, OR [Portland Fire #RP18000096715] 10:11 #pdx911",Mult Co Fire/EMS log
115,observing lovely super hazy smoky sunset city evening cough cough air quality wa deemed unhealthy many bay area thanks camp fire,0.14522234719179364,0.14257740911724326,1,"Observing a lovely but super hazy/smoky sunset over the city this evening… *cough cough*. Air quality was deemed very unhealthy for many here in the Bay Area, thanks to the Camp Fire… https://www.instagram.com/p/BqiN6fOFt1K/?utm_source=ig_twitter_share&igshid=xmsworgzjo2c …",William Justo
117,lot thankful year especially grateful firefighter work tirelessly fight devastating fire giving back donating,0.13998181706406398,0.13985686285162705,1,I have a lot to be thankful for and this year I am especially grateful for all the firefighters who work  tirelessly to fight these devastating fires. I am giving back by donating to… https://www.instagram.com/p/BqiNy5bn2yH/?utm_source=ig_twitter_share&igshid=1ritfgs7gzdp4 …,Rick Willis
118,med medical block n tillamook st portland portland fire rp pdx,0.14784873840114562,0.1430704039317502,1,"MED - MEDICAL at 400 BLOCK OF N TILLAMOOK ST, PORTLAND, OR [Portland Fire #RP18000096728] 10:50 #pdx911",Mult Co Fire/EMS log
120,med medical block ne th ave portland portland fire rp pdx,0.148700677129416,0.1374521647996507,1,"MED - MEDICAL at 1800 BLOCK OF NE 14TH AVE, PORTLAND, OR [Portland Fire #RP18000096717] 10:20 #pdx911",Mult Co Fire/EMS log
123,bad unhealthy air quality observed around bay area day due wildfire burning around norcal particularly camp fire sf wa also ranked worst air quality,0.13899423614455306,0.1384396181958559,1,"Very bad, unhealthy air quality observed around the Bay Area this day due to wildfires burning around NorCal, particularly the Camp Fire. SF was also ranked the worst air quality… https://www.instagram.com/p/BqiM4elFYR4/?utm_source=ig_twitter_share&igshid=13obclf388zth …",William Justo
126,med medical block ne glenn widing dr portland portland fire rp pdx,0.14139220657275117,0.12817780589567207,1,"MED - MEDICAL at 11900 BLOCK OF NE GLENN WIDING DR, PORTLAND, OR [Portland Fire #RP18000096718] 10:22 #pdx911",Mult Co Fire/EMS log
127,med medical block ne st ave portland portland fire rp pdx,0.14922306679426764,0.13961261232090647,1,"MED - MEDICAL at 1600 BLOCK OF NE 51ST AVE, PORTLAND, OR [Portland Fire #RP18000096716] 10:16 #pdx911",Mult Co Fire/EMS log
128,med medical se pine st se th ave portland portland fire rp pdx,0.15040058245994173,0.14995254600536745,1,"MED - MEDICAL at SE PINE ST / SE 11TH AVE, PORTLAND, OR [Portland Fire #RP18000096711] 09:55 #pdx911",Mult Co Fire/EMS log
