,cleaned_message,urgent_cos_sim,non_urgent_cos_sim,urgent,text,username,coordinates,lat,long,geometry
6413,power line pole arcing ne emerson st ne th pl portland portland fire rp pdx,0.14224952794057852,0.13916601613894394,1,"POWER - LINE OR POLE DOWN OR ARCING at NE EMERSON ST / NE 45TH PL, PORTLAND, OR [Portland Fire #RP18000093390] 14:40 #pdx911",Mult Co Fire/EMS log,"(39.85736027455133, -121.58943635643662)",39.85736027455133,-121.58943635643662,POINT (-121.5894363564366 39.85736027455133)
6414,write colorado snow falling outside window fire crackling fireplace determined hold fall long possible get,0.1381686892880261,0.13428985227063805,1," As I write this from Colorado, snow is falling outside the window and a fire is crackling in the fireplace but I'm determined to hold on to fall for as long as possible.

Don't get me… https://www.instagram.com/p/BqDr-FCngbA/?utm_source=ig_twitter_share&igshid=xx53u802dxl1 …",Becca,"(39.7659152528521, -121.4624648104061)",39.7659152528521,-121.4624648104061,POINT (-121.4624648104061 39.7659152528521)
6415,thank god jet pilot flying whoever directing keep dropping retardant keep fire crossing street home,0.14242228530856255,0.14107084169792491,1,"Thank god for these jets, the pilots flying them & whoever is directing them to keep dropping the retardant over and over to keep this fire from crossing the street where our homes are!… https://www.instagram.com/p/BqDrBYJnuJa/?utm_source=ig_twitter_share&igshid=1lwbqex84feg8 …",Michele Clark,"(39.692385238089955, -121.58789320159485)",39.692385238089955,-121.58789320159485,POINT (-121.5878932015949 39.69238523808995)
6416,oyster spicy korean vinaigrette kanji harrissa oil korean brunch chefoyster campfire,0.13773109770065026,0.1366959626577775,1,Oysters. Spicy Korean Vinaigrette. Kanji. Harrissa Oil. #korean #brunch #chefoyster @ Campfire https://www.instagram.com/p/BqDq3ZzHr4Z/?utm_source=ig_twitter_share&igshid=19ft3gmezbao6 …,Brian Street Team,"(39.878523006085956, -121.46411280937005)",39.878523006085956,-121.46411280937005,POINT (-121.4641128093701 39.87852300608596)
6417,cool afternoon fire fireplace fall portland downtown scarfweather realestate boot windy portland oregon,0.13773902779288294,0.13206814877662634,1,"It's cool here this afternoon. #fire #fireplace #fall #portland #downtown #scarfweather #realestate #boots #windy @ Portland, Oregon https://www.instagram.com/p/BqDqRrJAwOe/?utm_source=ig_twitter_share&igshid=cubm8w1cznwl …",cj johnson,"(39.736994336991245, -121.47773781173666)",39.736994336991245,-121.47773781173666,POINT (-121.4777378117367 39.73699433699124)
6418,ta p traffic accident pin se nd ave se stark st portland portland fire rp pdx,0.14914754094385874,0.1424937028893508,1,"TA1P - TRAFFIC ACCIDENT - PIN IN at SE 82ND AVE / SE STARK ST, PORTLAND, OR [Portland Fire #RP18000093373] 13:25 #pdx911",Mult Co Fire/EMS log,"(39.9675833047889, -121.65639218434606)",39.9675833047889,-121.65639218434606,POINT (-121.6563921843461 39.9675833047889)
6419,least breathing smoke today although still see pebblebeach california holepebblebeach myhappyplace carmelbythesea beautifulcalifornia pebble beach golf resort,0.13675691036898094,0.13590270136281904,1,At least we are not breathing smoke today! Although we can still see it #pebblebeach#california#18holepebblebeach#myhappyplace#carmelbythesea#beautifulcalifornia @ Pebble Beach Golf Resort https://www.instagram.com/p/BqDqawcFFzo/?utm_source=ig_twitter_share&igshid=r6mma4sbpz7b …,Beatrice Meredo,"(39.78885568231999, -121.59698071467368)",39.78885568231999,-121.59698071467368,POINT (-121.5969807146737 39.78885568231999)
6420,horrific camp woolsey hill fire california contained thousand firefighter engaged battling flame providing assistance need god,0.13753076535145148,0.1339453647999133,1,"The horrific Camp, Woolsey and Hill fires in California are only 10% contained. Thousands of firefighters are engaged in battling the flames & providing assistance to those in need. 
God… https://www.instagram.com/p/BqDmSP8hVg2/?utm_source=ig_twitter_share&igshid=12k1cuejh0dbi …",NoHo Farmers Market,"(39.701140039189696, -121.57021995195089)",39.701140039189696,-121.57021995195089,POINT (-121.5702199519509 39.7011400391897)
6421,sending many heartfelt prayer everyone ha affected california fire particularly thankful firefighter good citizen risking life limb,0.13900163231765436,0.13560679596330005,1,Sending many heartfelt prayers to everyone who has been affected by the California fires.. particularly thankful to all of the firefighters and good citizens who are risking life and limb… https://www.instagram.com/p/BqDpzGhh70s/?utm_source=ig_twitter_share&igshid=tvpp3h7vmyb1 …,Kimberly Stearns PhD,"(39.74564475349046, -121.63308660311186)",39.74564475349046,-121.63308660311186,POINT (-121.6330866031119 39.74564475349046)
6422,standing parent front yard see burn area background campfire durham california,0.14137725262675485,0.13580463542199386,1,"standing in my parents’ front yard. you can see the burn area in the background. #campfire @ Durham, California https://www.instagram.com/p/BqDpreXFadr/?utm_source=ig_twitter_share&igshid=143scyu1gea5j …",Ansel Lundberg,"(39.565193897042015, -121.61425533240548)",39.565193897042015,-121.61425533240548,POINT (-121.6142553324055 39.56519389704201)
6423,hazy day manhattan beach yesterday smoke nearby woolseyfire spread los angeles area hope everyone staying safe adimonda fireseason,0.1372646814790235,0.13282408232400958,1,"Hazy day in Manhattan Beach yesterday as the smoke from the nearby #woolseyfire spread through the Los Angeles area. Hope everyone is staying safe out there. 

@adimonda #fireseason… https://www.instagram.com/p/BqDpKFflvKe/?utm_source=ig_twitter_share&igshid=d9tijuqr73zw …",Barbara Platts,"(39.85870071716356, -121.44299711606386)",39.85870071716356,-121.44299711606386,POINT (-121.4429971160639 39.85870071716356)
6424,day paradise gone dailydoodle everyday lineart linedrawing linework artistic share inkdrawing makearteveryday creativeart,0.13639893484307453,0.13388557738035156,1,"Day1088
Paradise is Gone
°°°°°°°
°°°°°°
°°°°°
°°°°
°°°
°°
°

#dailydoodle #everyday #lineart #linedrawing #linework#artistic_share #inkdrawing #makearteveryday #creativeart… https://www.instagram.com/p/BqDoyaYhhPU/?utm_source=ig_twitter_share&igshid=jy4ccx11tn3b …",doron serban,"(39.74468915108533, -121.595300876916)",39.74468915108533,-121.595300876916,POINT (-121.595300876916 39.74468915108533)
6425,please consider donating fund help student displaced camp fire get back foot camp fire ha destroyed home displacing thousand people,0.14925652602471162,0.14402966043992171,1,"Please consider donating to this fund that will help students, displaced by the Camp Fire get back on their feet.   The Camp Fire has destroyed 7000 homes, displacing thousands of people… https://www.instagram.com/p/BqDpAaEg-6l/?utm_source=ig_twitter_share&igshid=23257fs45e1l …",Jeffers Richardson,"(39.85693132185589, -121.76442516569415)",39.85693132185589,-121.76442516569415,POINT (-121.7644251656941 39.85693132185589)
6426,med medical block ne san rafael st portland portland fire rp pdx,0.1465293279789613,0.13833084503435547,1,"MED - MEDICAL at 400 BLOCK OF NE SAN RAFAEL ST, PORTLAND, OR [Portland Fire #RP18000093377] 13:30 #pdx911",Mult Co Fire/EMS log,"(39.81852326845549, -121.7427265949961)",39.81852326845549,-121.7427265949961,POINT (-121.7427265949961 39.81852326845549)
6427,med medical sw th ave sw salmon st portland fire rp pdx,0.15117586374206787,0.15116065776039336,1,MED - MEDICAL at SW 5TH AVE / SW SALMON ST [Portland Fire #RP18000093385] 14:16 #pdx911,Mult Co Fire/EMS log,"(39.67190012886277, -121.66908130284894)",39.67190012886277,-121.66908130284894,POINT (-121.6690813028489 39.67190012886277)
6428,med medical block se powell blvd portland portland fire rp pdx,0.14568828761067334,0.1334844719900355,1,"MED - MEDICAL at 15900 BLOCK OF SE POWELL BLVD, PORTLAND, OR [Portland Fire #RP18000093368] 12:57 #pdx911",Mult Co Fire/EMS log,"(39.82542553777409, -121.5113736811389)",39.82542553777409,-121.5113736811389,POINT (-121.5113736811389 39.82542553777409)
