,cleaned_message,urgent_cos_sim,non_urgent_cos_sim,urgent,text,username
247,med medical block se umatilla st portland portland fire rp pdx,0.14872874004811296,0.15090950069578932,0,"MED - MEDICAL at 2400 BLOCK OF SE UMATILLA ST, PORTLAND, OR [Portland Fire #RP18000096628] 00:06 #pdx911",Mult Co Fire/EMS log
253,ta traffic accident st response fire em se kelly st se th ave portland portland fire rp pdx,0.14734193187820718,0.1484821845077084,0,"TA1 - TRAFFIC ACCIDENT - 1ST RESPONSE (FIRE & EMS) at SE KELLY ST / SE 7TH AVE, PORTLAND, OR [Portland Fire #RP18000096632] 00:32 #pdx911",Mult Co Fire/EMS log
254,dear jesus thank health beautiful home get burned ash recent fire love fill house great bust,0.15162437116113256,0.1599623222045379,0,"Dear Jesus: Thank you for our health, for our beautiful home that did not get burned to ashes in the recent fires, for the love that fills this house that is so great it busts out the… https://www.instagram.com/p/BqhCzDQhrkw/?utm_source=ig_twitter_share&igshid=3ex7itze1k6s …",💜 D  E  A  N  N  A 💜
261,goat mountain fire lookout oakhurst ca,0.15209675286654104,0.1621180864486662,0,"I'm at Goat Mountain Fire Lookout in Oakhurst, CA https://www.swarmapp.com/c/2rIyaIsc1Rg ",Ebeid ElSayed
271,almcom monitored commercial fire alarm block se lafayette st portland portland fire rp pdx,0.14158158738820018,0.1466284829746914,0,"ALMCOM - MONITORED COMMERCIAL FIRE ALARM at 8700 BLOCK OF SE LAFAYETTE ST, PORTLAND, OR [Portland Fire #RP18000096619] 22:47 #pdx911",Mult Co Fire/EMS log
278,almres monitored residential fire alarm block nw flanders st portland portland fire rp pdx,0.1433027518087519,0.14395977373883573,0,"ALMRES - MONITORED RESIDENTIAL FIRE ALARM at 2100 BLOCK OF NW FLANDERS ST, PORTLAND, OR [Portland Fire #RP18000096614] 22:22 #pdx911",Mult Co Fire/EMS log
281,ta traffic accident st response fire em ne lombard st ne th ave portland portland fire rp,0.14621742752612785,0.14636852367904643,0,"TA1 - TRAFFIC ACCIDENT - 1ST RESPONSE (FIRE & EMS) at NE LOMBARD ST / NE 11TH AVE, PORTLAND, OR [Portland Fire #RP18000096612] 22:16",Mult Co Fire/EMS log
288,fantastic day wa family hilarious paradise warm spring lv,0.1391000388244635,0.14172273860938586,0,"What a fantastic day it was.  My family is hilarious  @ Paradise & Warm Springs, LV https://www.instagram.com/p/BqgwnVGlQxo0l2UzIa5s2OzmAmxhtyJDOKFdVo0/?utm_source=ig_twitter_share&igshid=61tyn85tx3ca …",Brian K. Martin
289,ta traffic accident st response fire em sw th ave sw market st portland portland fire rp pdx,0.14851906429360756,0.15073760507700512,0,"TA1 - TRAFFIC ACCIDENT - 1ST RESPONSE (FIRE & EMS) at SW 13TH AVE / SW MARKET ST, PORTLAND, OR [Portland Fire #RP18000096603] 21:46 #pdx911",Mult Co Fire/EMS log
290,almcom monitored commercial fire alarm block ne davis st portland portland fire rp pdx,0.14353704932880648,0.14384885338903333,0,"ALMCOM - MONITORED COMMERCIAL FIRE ALARM at 11900 BLOCK OF NE DAVIS ST, PORTLAND, OR [Portland Fire #RP18000096604] 21:49 #pdx911",Mult Co Fire/EMS log
293,dump dumpster garbage trash fire block sw columbia st portland portland fire rp pdx,0.14478384104211364,0.147422595275375,0,"DUMP - DUMPSTER, GARBAGE CAN OR TRASH FIRE at 1200 BLOCK OF SW COLUMBIA ST, PORTLAND, OR [Portland Fire #RP18000096596] 21:29 #pdx911",Mult Co Fire/EMS log
