,username,text
210,mult co fire ems log,almcom   monitored commercial fire alarm at      block of ne argyle dr  portland  or  portland fire  rp                    pdx   
211,mult co fire ems log,med   medical at      block of sw  nd ave  portland  or  portland fire  rp                    pdx   
212,mult co fire ems log,med   medical at      block of se   st ave  portland  or  portland fire  rp                    pdx   
213,mult co fire ems log,med   medical at       block of ne halsey st  portland  or  portland fire  rp                    pdx   
214,mult co fire ems log,med   medical at      block of se holgate blvd  portland  or  portland fire  rp                    pdx   
215,mult co fire ems log,med   medical at       block of ne glisan st  portland  or  portland fire  rp                    pdx   
216,mult co fire ems log,med   medical at      block of ne everett ct  portland  or  portland fire  rp                    pdx   
217,mult co fire ems log,med   medical at     block of w burnside st  portland  or  portland fire  rp                    pdx   
218,mult co fire ems log,med   medical at      block of se harold st  portland  or  portland fire  rp                    pdx   
219,mult co fire ems log,med   medical at   se grand ave  portland  or  portland fire  rp                    pdx   
220,mult co fire ems log,med   medical at se grant st   se   th pl  portland  or  portland fire  rp                    pdx   
221,ttwn sacramento,camp fire closure in  oroville on hwy    both nb sb between pentz rd and ca     traffic  
222,mult co fire ems log,med   medical at ne    rd ave   e burnside st  portland  or  portland fire  rp                    pdx   
223,jeff daly,we had a lovely  firepit and enjoyed some  smores   enjoy    thanksgiving  fire   northridge  california   
224,mult co fire ems log,med   medical at      block of n hayden island dr  portland  or  portland fire  rp                    pdx   
225,mult co fire ems log,med   medical at      block of n lombard st  portland  or  portland fire  rp                    pdx   
226,mult co fire ems log,med   medical at se    th ave   e burnside st  portland  or  portland fire  rp                    pdx   
227,mult co fire ems log,med   medical at      block of n houghton st  portland  or  portland fire  rp                    pdx   
228,mult co fire ems log,med   medical at sw mill st   sw   th ave  portland  or  portland fire  rp                    pdx   
229,mult co fire ems log,ta    traffic accident    st response  fire   ems  at ne    nd ave   ne fremont st  portland  or  portland fire  rp                  
230,mult co fire ems log,med   medical at       block of ne glisan st  portland  or  portland fire  rp                    pdx   
231,mult co fire ems log,almcom   monitored commercial fire alarm at       block of ne glisan st  portland  or  portland fire  rp                    pdx   
232,mult co fire ems log,med   medical at       block of ne russell st  portland  or  portland fire  rp                    pdx   
233,mult co fire ems log,med   medical at      block of se lambert st  portland  or  portland fire  rp                    pdx   
234,mult co fire ems log,med   medical at   nw  th ave  portland  or  portland fire  rp                    pdx   
235,mult co fire ems log,afire   apartment or multi dwelling structure fire at      block of se cesar e chavez blvd  portland  or  portland fire  rp            
236,mult co fire ems log,med   medical at      block of sw  nd ave  portland  or  portland fire  rp                    pdx   
237,mult co fire ems log,ta    traffic accident    st response  fire   ems  at       block of n lombard st  portland  or  portland fire  rp                  
238,mult co fire ems log,polreq   police request  dispatch balance  at sw  th ave   sw mill st  portland fire  rp                    pdx   
239,mult co fire ems log,med   medical at      block of nw  th ave  portland  or  portland fire  rp                    pdx   
240,mult co fire ems log,med   medical at sw   th ave   sw jefferson st  portland  or  portland fire  rp                    pdx   
241,petsurg   er pets,make sure the stove and fireplace are not putting you or your family at risk   thanksgiving  sandiego  fire  pets   er pets   
242,ross purnell,this is wonderful to see   simms helping out fire victims with warm clothes  thanks for the inspiring message    paradise  california   
243,ashley wilson,pose be like   ashley  deaf  deafpride  deafproud  selfie  ss  selfpic  walking  lasvegas  vacation  trip  november            november  happy  beautiful  pretty   paradise  nevada   
244,mult co fire ems log,med   medical at      block of sw  nd ave  portland  or  portland fire  rp                    pdx   
245,sarah petty silikula,our youngest two kids needed some cheering up  first the mass shooting at borderline across the street and then the fires swept thru our home town of  thousandoaks  so we decided to    
246,mult co fire ems log,med   medical at       block of ne holladay st  portland  or  portland fire  rp                    pdx   
247,mult co fire ems log,med   medical at      block of se umatilla st  portland  or  portland fire  rp                    pdx   
248,mult co fire ems log,med   medical at      block of sw jefferson st  portland  or  portland fire  rp                    pdx   
249,mult co fire ems log,med   medical at sw   th ave   w burnside st  portland  or  portland fire  rp                    pdx   
250,mult co fire ems log,med   medical at      block of n haight ave  portland  or  portland fire  rp                    pdx   
251,mult co fire ems log,med   medical at     block of nw flanders st  portland  or  portland fire  rp                    pdx   
252,mult co fire ems log,med   medical at      block of sw  rd ave  portland  or  portland fire  rp                    pdx   
253,mult co fire ems log,ta    traffic accident    st response  fire   ems  at se kelly st   se  th ave  portland  or  portland fire  rp                    pdx   
254,  d  e  a  n  n  a  ,dear jesus  thank you for our health  for our beautiful home that did not get burned to ashes in the recent fires  for the love that fills this house that is so great it busts out the    
255,mult co fire ems log,med   medical at      block of n fessenden st  portland  or  portland fire  rp                    pdx   
256,whitney hayes, family    paradise valley  arizona   
257,mult co fire ems log,med   medical at       block of se washington st  portland  or  portland fire  rp                    pdx   
258,whitney hayes,the beauty of it all   happy thanksgiving sweet loves   donnalislejohnson so proud of you and steve s gorgeous home    paradise valley  arizona   
259,mult co fire ems log,med   medical at      block of nw flanders st  portland  or  portland fire  rp                    pdx   
260,mult co fire ems log,med   medical at       block of se division st  portland  or  portland fire  rp                    pdx   
261,ebeid elsayed,i m at goat mountain fire lookout in oakhurst  ca  
